config_id,symbol,direction,event_timestamp,event_type,policy_id,exit_family
63ac072483,IWM,long,2024-06-21T13:49:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-07-24T14:00:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-07-30T14:07:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-08-13T14:08:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-08-20T13:53:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-08-22T13:55:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-09-24T14:07:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2024-12-10T14:44:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-02-24T15:09:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-03-13T14:03:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-03-25T14:06:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-03-25T14:07:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-04-16T13:57:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-04-21T14:05:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-05-06T13:55:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-05-20T13:52:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-06-04T14:12:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-07-24T13:59:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-07-24T14:00:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-09-09T14:11:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-10-07T14:07:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-10-22T13:45:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-11-13T15:08:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-12-04T14:55:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2025-12-23T15:10:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2026-01-09T15:12:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2026-04-16T13:59:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2026-04-23T14:05:00+00:00,entry,63ac072483,fixed_1r
63ac072483,IWM,long,2026-05-06T14:11:00+00:00,entry,63ac072483,fixed_1r
68ad09c0b8,IWM,short,2021-05-13T14:07:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2021-09-22T14:00:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,long,2021-10-19T14:02:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,long,2021-10-19T14:04:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,long,2022-03-28T13:54:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2022-06-15T14:09:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2022-06-15T14:11:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2022-11-25T15:15:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2022-12-12T15:13:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2022-12-12T15:14:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,long,2025-04-16T13:57:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,long,2025-04-21T14:05:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2025-04-25T14:15:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2025-05-16T14:00:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,long,2025-05-20T13:52:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,long,2025-06-24T14:01:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,long,2025-06-24T14:02:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2025-07-09T13:54:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2025-08-04T13:52:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2025-08-04T14:08:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2025-10-24T14:15:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2025-11-20T15:07:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2025-12-10T15:14:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2025-12-10T15:15:00+00:00,entry,68ad09c0b8,fixed_1r
68ad09c0b8,IWM,short,2026-03-17T14:01:00+00:00,entry,68ad09c0b8,fixed_1r
6dce2cb41b,IWM,short,2021-05-13T14:07:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-05-27T14:00:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-06-04T14:00:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-06-18T13:59:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-06-29T13:47:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-07-09T13:48:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-07-13T14:11:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-07-14T13:55:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-08-02T13:51:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-08-12T13:57:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-08-12T13:58:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-08-12T13:59:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-08-24T14:10:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-08-25T14:05:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-08-25T14:06:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-09-01T14:01:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-09-01T14:02:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-09-08T14:12:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-09-13T13:50:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-09-13T14:15:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-09-14T14:06:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-09-14T14:07:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-09-15T13:53:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-09-15T13:54:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-09-22T14:00:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-09-24T13:52:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-09-29T13:58:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-09-30T13:58:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-09-30T13:59:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-10-04T14:01:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-10-19T14:02:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-10-19T14:04:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-10-21T14:13:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-10-21T14:14:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-10-29T14:11:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-11-02T14:13:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-11-02T14:14:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-11-08T14:55:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-11-16T14:57:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-11-19T15:11:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-11-19T15:12:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2021-12-08T14:55:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-12-13T14:56:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2021-12-27T15:02:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-01-10T15:06:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-01-10T15:07:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-01-12T15:10:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-01-12T15:11:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-01-19T14:55:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-02-10T15:14:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-02-10T15:15:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-02-14T15:07:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-02-14T15:08:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-02-22T14:59:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-02-24T15:01:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-02-24T15:02:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-02-28T15:01:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-03-07T14:52:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-03-10T15:01:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-03-10T15:02:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-03-10T15:03:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-03-28T13:54:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-04-08T14:03:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-05-05T14:14:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-05-09T14:13:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-05-18T13:45:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-05-18T14:09:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-05-19T13:54:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-05-27T14:00:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-06-03T14:05:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,long,2022-06-14T13:47:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-06-15T14:09:00+00:00,entry,6dce2cb41b,fixed_2r
6dce2cb41b,IWM,short,2022-06-15T14:11:00+00:00,entry,6dce2cb41b,fixed_2r
